transaction_id;client_id;montant;pays_destination;pays_client;heure;est_suspecte;score_montant;score_pays_destination;score_client;score_nocturne;score_risque;niveau_risque;date_calcul
TXN-000038;CLT-0087;90823,97;Allemagne;Italie;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000039;CLT-0032;745,3;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000040;CLT-0025;4431,82;Russie;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000041;CLT-0001;746,38;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000042;CLT-0067;4022,51;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000043;CLT-0059;4588,18;Russie;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000044;CLT-0041;4939,58;Îles Caïmans;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000045;CLT-0096;2743,88;Russie;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000046;CLT-0036;1243,73;Russie;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000047;CLT-0092;1380,24;Allemagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000048;CLT-0011;1605,35;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000049;CLT-0028;3472,81;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000050;CLT-0008;2717,63;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000051;CLT-0003;3851,28;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000052;CLT-0097;4714,28;Îles Caïmans;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000053;CLT-0029;3675,82;Allemagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000054;CLT-0044;2433,35;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000055;CLT-0069;4598,51;Îles Caïmans;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000056;CLT-0083;3318,37;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000057;CLT-0049;916,83;Allemagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000058;CLT-0036;1694,13;Espagne;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000059;CLT-0007;2356,83;Allemagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000060;CLT-0006;3908,35;Allemagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000061;CLT-0031;111,7;Russie;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000062;CLT-0060;2824,21;Panama;Italie;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000063;CLT-0100;3040,16;Espagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000064;CLT-0074;10234,02;Îles Caïmans;Allemagne;14;1;40;25;0;0;65;ÉLEVÉ;2026-05-14 11:56:32
TXN-000065;CLT-0089;999,67;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000066;CLT-0077;1514,9;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000067;CLT-0009;2147,61;Panama;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000068;CLT-0014;44545,11;Panama;France;14;1;40;25;0;0;65;ÉLEVÉ;2026-05-14 11:56:32
TXN-000069;CLT-0020;4145,25;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000070;CLT-0079;4827,71;Russie;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000071;CLT-0035;4130,42;Allemagne;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000072;CLT-0032;442,45;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000073;CLT-0024;2476,59;Allemagne;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000074;CLT-0077;1299,18;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000075;CLT-0093;963,37;Russie;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000076;CLT-0083;1209,22;Russie;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000077;CLT-0052;474,34;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000078;CLT-0068;1851,41;Îles Caïmans;Allemagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000079;CLT-0090;2756,44;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000080;CLT-0041;1160,38;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000081;CLT-0093;3695,64;Espagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000082;CLT-0030;4164,82;France;Allemagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000083;CLT-0036;3543,01;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000084;CLT-0082;3490,11;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000085;CLT-0062;2874,58;Panama;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000086;CLT-0015;266,37;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000087;CLT-0007;2889,34;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000088;CLT-0032;4746,14;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000089;CLT-0100;3955,8;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000090;CLT-0055;2219,18;France;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000091;CLT-0081;3703,05;Espagne;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000092;CLT-0071;793,71;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000093;CLT-0061;47193,82;France;France;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000094;CLT-0059;3537,71;Allemagne;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000095;CLT-0076;3941,26;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000096;CLT-0035;27558,42;France;Espagne;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000097;CLT-0096;76958,69;Espagne;Panama;14;1;40;0;20;0;60;ÉLEVÉ;2026-05-14 11:56:32
TXN-000098;CLT-0090;2348,8;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000099;CLT-0077;2474,04;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000100;CLT-0012;3022,53;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000101;CLT-0074;3364,69;France;Allemagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000102;CLT-0024;3261,03;Îles Caïmans;Espagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000103;CLT-0061;2463,71;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000104;CLT-0043;3353,97;Russie;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000105;CLT-0005;4726,52;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000106;CLT-0066;1623,14;Russie;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000107;CLT-0080;946,04;Russie;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000108;CLT-0017;1025,76;Russie;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000109;CLT-0081;2428,71;Allemagne;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000110;CLT-0071;1560,64;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000111;CLT-0060;4208,61;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000112;CLT-0091;3585,85;Îles Caïmans;Allemagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000113;CLT-0059;4901,42;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000114;CLT-0096;4610,12;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000115;CLT-0044;3952,13;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000116;CLT-0076;1421,37;Russie;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000117;CLT-0045;2238,27;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000118;CLT-0090;1615,67;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000119;CLT-0041;3879,97;Îles Caïmans;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000120;CLT-0020;3321,81;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000121;CLT-0013;91985,76;France;France;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000122;CLT-0053;2290,07;France;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000123;CLT-0080;4846,33;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000124;CLT-0049;4263,18;Russie;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000125;CLT-0031;189,14;Allemagne;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000126;CLT-0098;2175,52;Russie;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000127;CLT-0006;1504,34;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000128;CLT-0032;1880,46;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000129;CLT-0023;3964,67;Îles Caïmans;Allemagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000130;CLT-0019;1211,74;Russie;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000131;CLT-0002;2303,26;Espagne;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000132;CLT-0045;798,3;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000133;CLT-0059;2127,3;Allemagne;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000134;CLT-0031;4268,14;Panama;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000135;CLT-0003;4963,53;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000136;CLT-0078;83260,86;Espagne;Suisse;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000137;CLT-0029;1158,29;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000138;CLT-0088;3607,43;France;Allemagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000139;CLT-0057;3235,24;Panama;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000140;CLT-0042;459,77;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000141;CLT-0068;3934,7;Espagne;Allemagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000142;CLT-0038;1292,28;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000143;CLT-0087;385,74;Panama;Italie;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000144;CLT-0069;42327,99;Russie;Panama;14;1;40;0;20;0;60;ÉLEVÉ;2026-05-14 11:56:32
TXN-000145;CLT-0075;3747,57;Panama;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000146;CLT-0080;28342,51;Panama;France;14;1;40;25;0;0;65;ÉLEVÉ;2026-05-14 11:56:32
TXN-000147;CLT-0082;1114,62;Espagne;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000148;CLT-0005;592,21;Russie;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000149;CLT-0018;28427,6;Russie;Panama;14;1;40;0;20;0;60;ÉLEVÉ;2026-05-14 11:56:32
TXN-000150;CLT-0070;4747,41;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000151;CLT-0079;3278,06;Espagne;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000152;CLT-0057;40236,11;Panama;France;14;1;40;25;0;0;65;ÉLEVÉ;2026-05-14 11:56:32
TXN-000153;CLT-0083;67654,18;France;France;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000154;CLT-0059;957,14;Allemagne;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000155;CLT-0007;2989,76;Allemagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000156;CLT-0009;3937,02;Allemagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000157;CLT-0043;4067,13;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000158;CLT-0070;4920,3;France;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000159;CLT-0002;83380,97;Allemagne;Espagne;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000160;CLT-0007;88,75;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000161;CLT-0058;3730,87;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000162;CLT-0006;1115,53;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000163;CLT-0062;4820,49;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000164;CLT-0010;2456,44;Panama;Îles Caïmans;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000165;CLT-0080;337,75;Panama;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000166;CLT-0059;2990,99;Îles Caïmans;Îles Caïmans;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000167;CLT-0084;69054,81;Allemagne;Italie;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000168;CLT-0044;4441,57;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000169;CLT-0041;484,48;Panama;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000170;CLT-0009;3437,24;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000171;CLT-0017;16401,11;France;Îles Caïmans;14;1;40;0;20;0;60;ÉLEVÉ;2026-05-14 11:56:32
TXN-000172;CLT-0086;2812,32;Îles Caïmans;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000173;CLT-0093;3330,05;Espagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000174;CLT-0065;1764,71;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000175;CLT-0045;1128,98;Panama;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000176;CLT-0055;32235,43;France;Espagne;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000177;CLT-0035;3292,58;France;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000178;CLT-0045;3814,42;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000179;CLT-0009;2835,94;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000180;CLT-0054;54151,99;Panama;Suisse;14;1;40;25;0;0;65;ÉLEVÉ;2026-05-14 11:56:32
TXN-000181;CLT-0100;1565,07;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000182;CLT-0007;786,34;Espagne;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000183;CLT-0057;2125,83;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000184;CLT-0056;2566,61;Espagne;Allemagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000185;CLT-0086;2969,74;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000186;CLT-0001;4922,38;Espagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000187;CLT-0038;3839,07;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000188;CLT-0017;72990,23;Allemagne;Îles Caïmans;14;1;40;0;20;0;60;ÉLEVÉ;2026-05-14 11:56:32
TXN-000189;CLT-0010;4168,44;France;Îles Caïmans;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000190;CLT-0041;2304,17;Îles Caïmans;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000191;CLT-0038;3550,4;Îles Caïmans;Îles Caïmans;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000192;CLT-0059;36254,83;France;Îles Caïmans;14;1;40;0;20;0;60;ÉLEVÉ;2026-05-14 11:56:32
TXN-000193;CLT-0076;538,26;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000194;CLT-0029;1558,27;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000195;CLT-0066;63090,55;Panama;Espagne;14;1;40;25;0;0;65;ÉLEVÉ;2026-05-14 11:56:32
TXN-000196;CLT-0019;4791,53;France;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000197;CLT-0020;25162,65;France;Italie;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000198;CLT-0097;3143,46;Russie;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000199;CLT-0082;4411,42;Panama;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000200;CLT-0057;3139,81;Russie;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000201;CLT-0076;1521,07;Panama;France;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000202;CLT-0005;1558,94;Panama;Panama;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000203;CLT-0079;392,89;Îles Caïmans;Îles Caïmans;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000204;CLT-0058;2776,04;Allemagne;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000205;CLT-0008;2383,39;France;Suisse;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000206;CLT-0011;4188,51;France;France;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000207;CLT-0068;69563,09;France;Allemagne;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000208;CLT-0053;4590,5;France;Espagne;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
TXN-000209;CLT-0043;3240,05;Îles Caïmans;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000210;CLT-0078;3621,43;Panama;Suisse;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000211;CLT-0040;65734,25;France;Suisse;14;1;40;0;0;0;40;ÉLEVÉ;2026-05-14 11:56:32
TXN-000212;CLT-0072;4690,63;Panama;Allemagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000213;CLT-0068;3353,88;Îles Caïmans;Allemagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000214;CLT-0024;100,97;Panama;Espagne;14;0;0;25;0;0;25;MODÉRÉ;2026-05-14 11:56:32
TXN-000215;CLT-0018;2436,49;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000216;CLT-0099;3942,72;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000217;CLT-0017;4383,2;Îles Caïmans;Îles Caïmans;14;0;0;25;20;0;45;ÉLEVÉ;2026-05-14 11:56:32
TXN-000218;CLT-0099;912,42;France;Panama;14;0;0;0;20;0;20;MODÉRÉ;2026-05-14 11:56:32
TXN-000219;CLT-0087;228,03;Russie;Italie;14;0;0;0;0;0;0;FAIBLE;2026-05-14 11:56:32
